center_distance_um,converged,status,sim_time_to_ss_h,wall_time_s,final_S2_M,final_I2_M,final_Th2_M,final_S2_I2_M,final_S2_Th2_M,final_abs_change_M,csv_file
50.0,False,timeout,10.0,440.92178297042847,4.42556375077141e-09,4.2529669019833e-08,3.605856119019646e-07,5.741388416342177e-08,4.631941368243084e-06,2.012182924432995e-10,timeseries_center_distance_um_5.000000e+01.csv
110.41666666666666,False,timeout,10.0,450.00850224494934,2.643751554750456e-09,5.549601720118425e-08,6.063340602319472e-07,4.44426520465461e-08,4.3877694561251075e-06,1.4486158604672686e-09,timeseries_center_distance_um_1.104167e+02.csv
170.83333333333331,False,timeout,10.0,453.5243179798126,1.8999628088753545e-09,6.362140391540778e-08,8.530931032396699e-07,3.6342273558754204e-08,4.141216794487223e-06,1.8886215671534087e-09,timeseries_center_distance_um_1.708333e+02.csv
231.25,False,timeout,10.0,451.9694941043854,1.4879526978616966e-09,6.911559998816225e-08,1.0846036718833031e-06,3.084858138509954e-08,3.909976681029612e-06,1.9739775563283654e-09,timeseries_center_distance_um_2.312500e+02.csv
291.66666666666663,False,timeout,10.0,448.8364419937134,1.209676048413662e-09,7.332681973683443e-08,1.3051670712779802e-06,2.6641172241440454e-08,3.689462438863641e-06,1.9875380831310388e-09,timeseries_center_distance_um_2.916667e+02.csv
352.0833333333333,False,timeout,10.0,446.4112980365753,1.001329058702716e-09,7.6790247060117e-08,1.5185372754668718e-06,2.318125859807845e-08,3.4760974042986045e-06,2.0075115374637663e-09,timeseries_center_distance_um_3.520833e+02.csv
412.5,False,timeout,10.0,443.48217511177063,8.424934216607527e-10,7.949449471589818e-08,1.7170977198040925e-06,2.0246545425422443e-08,3.2672353784469124e-06,2.0138486827572452e-09,timeseries_center_distance_um_4.125000e+02.csv
472.91666666666663,False,timeout,10.0,400.7961039543152,7.105694273947472e-10,8.199910538554542e-08,1.8605142415993234e-06,1.7943721865941147e-08,3.1344586064510347e-06,2.073420765509715e-09,timeseries_center_distance_um_4.729167e+02.csv
533.3333333333333,False,timeout,10.0,399.4662642478943,6.890117886362672e-10,8.24225028980891e-08,1.8928802179625943e-06,1.7510871047186527e-08,3.1022602857895945e-06,2.0143733239556756e-09,timeseries_center_distance_um_5.333333e+02.csv
593.75,False,timeout,10.0,397.7258491516113,5.83748855757346e-10,8.46189170981969e-08,2.0870474117303154e-06,1.5312103001132657e-08,2.9079377892850303e-06,1.991161718523818e-09,timeseries_center_distance_um_5.937500e+02.csv
654.1666666666666,False,timeout,10.0,395.08761286735535,4.94237155890926e-10,8.654113755602115e-08,2.2801677058950803e-06,1.3324499325298425e-08,2.711367113069818e-06,1.962460107299939e-09,timeseries_center_distance_um_6.541667e+02.csv
714.5833333333333,True,converged,10.0,390.9324526786804,4.2346656112703546e-10,8.757227448239684e-08,2.4568829491556927e-06,1.1479348055110212e-08,2.4958418820820326e-06,7.606657784289349e-12,timeseries_center_distance_um_7.145833e+02.csv
775.0,True,converged,10.0,385.3903179168701,4.417435211766153e-10,7.734156177282173e-08,2.283487978323518e-06,8.979234333488087e-09,2.03172452946113e-06,6.609174117216706e-12,timeseries_center_distance_um_7.750000e+02.csv
835.4166666666666,True,converged,10.0,384.38895893096924,2.9888376204364463e-10,9.048191973607261e-08,2.8164212720755184e-06,8.5859240605242e-09,2.1354938754223023e-06,7.407175415995755e-12,timeseries_center_distance_um_8.354167e+02.csv
895.8333333333333,True,converged,10.0,395.5862648487091,2.5975932538461813e-10,9.221955297462829e-08,2.985608556450209e-06,7.669424149002064e-09,2.0072205836465185e-06,7.060676989669208e-12,timeseries_center_distance_um_8.958333e+02.csv
956.25,True,converged,10.0,391.9678478240967,2.2512943411172783e-10,9.321557864654358e-08,3.1348923735944587e-06,6.7508024977400825e-09,1.8616237331704113e-06,6.734504868483396e-12,timeseries_center_distance_um_9.562500e+02.csv
