center_distance_um,converged,status,sim_time_to_ss_h,wall_time_s,csv_file,final_S2_nM,final_I2_nM,final_Th2_nM,final_S2_I2_nM,final_S2_Th2_nM,final_abs_change_nM
50.0,False,timeout,10.0,440.92178297042847,timeseries_center_distance_um_5.000000e+01.csv,4.42556375077141,42.529669019833,360.5856119019646,57.41388416342177,4631.941368243084,0.2012182924432995
110.41666666666666,False,timeout,10.0,450.00850224494934,timeseries_center_distance_um_1.104167e+02.csv,2.6437515547504558,55.49601720118425,606.3340602319472,44.4426520465461,4387.769456125107,1.4486158604672685
170.83333333333331,False,timeout,10.0,453.5243179798126,timeseries_center_distance_um_1.708333e+02.csv,1.8999628088753546,63.62140391540778,853.0931032396699,36.3422735587542,4141.216794487223,1.8886215671534088
231.25,False,timeout,10.0,451.9694941043854,timeseries_center_distance_um_2.312500e+02.csv,1.4879526978616966,69.11559998816224,1084.6036718833032,30.848581385099543,3909.976681029612,1.9739775563283655
291.66666666666663,False,timeout,10.0,448.8364419937134,timeseries_center_distance_um_2.916667e+02.csv,1.2096760484136622,73.32681973683444,1305.1670712779803,26.641172241440454,3689.462438863641,1.9875380831310387
352.0833333333333,False,timeout,10.0,446.4112980365753,timeseries_center_distance_um_3.520833e+02.csv,1.001329058702716,76.790247060117,1518.5372754668717,23.18125859807845,3476.0974042986045,2.0075115374637664
412.5,False,timeout,10.0,443.48217511177063,timeseries_center_distance_um_4.125000e+02.csv,0.8424934216607527,79.49449471589818,1717.0977198040925,20.246545425422443,3267.2353784469124,2.0138486827572453
472.91666666666663,False,timeout,10.0,400.7961039543152,timeseries_center_distance_um_4.729167e+02.csv,0.7105694273947472,81.99910538554542,1860.5142415993234,17.943721865941146,3134.4586064510345,2.0734207655097148
533.3333333333333,False,timeout,10.0,399.4662642478943,timeseries_center_distance_um_5.333333e+02.csv,0.6890117886362672,82.4225028980891,1892.8802179625943,17.510871047186527,3102.2602857895945,2.0143733239556756
593.75,False,timeout,10.0,397.7258491516113,timeseries_center_distance_um_5.937500e+02.csv,0.583748855757346,84.6189170981969,2087.0474117303156,15.312103001132657,2907.9377892850302,1.9911617185238177
654.1666666666666,False,timeout,10.0,395.08761286735535,timeseries_center_distance_um_6.541667e+02.csv,0.49423715589092604,86.54113755602114,2280.1677058950804,13.324499325298426,2711.367113069818,1.962460107299939
714.5833333333333,True,converged,10.0,390.9324526786804,timeseries_center_distance_um_7.145833e+02.csv,0.42346656112703546,87.57227448239685,2456.8829491556926,11.479348055110211,2495.8418820820325,0.007606657784289349
775.0,True,converged,10.0,385.3903179168701,timeseries_center_distance_um_7.750000e+02.csv,0.4417435211766153,77.34156177282173,2283.487978323518,8.979234333488087,2031.72452946113,0.006609174117216707
835.4166666666666,True,converged,10.0,384.38895893096924,timeseries_center_distance_um_8.354167e+02.csv,0.29888376204364464,90.48191973607261,2816.4212720755186,8.585924060524201,2135.493875422302,0.007407175415995755
895.8333333333333,True,converged,10.0,395.5862648487091,timeseries_center_distance_um_8.958333e+02.csv,0.25975932538461816,92.21955297462829,2985.608556450209,7.669424149002064,2007.2205836465184,0.007060676989669208
956.25,True,converged,10.0,391.9678478240967,timeseries_center_distance_um_9.562500e+02.csv,0.22512943411172784,93.21557864654358,3134.8923735944586,6.750802497740082,1861.6237331704112,0.006734504868483396
1016.6666666666666,True,converged,10.0,385.62286710739136,timeseries_center_distance_um_1.016667e+03.csv,0.19507553828700158,94.0544930734958,3279.2376950098587,5.925607654864724,1717.7990062736935,0.006550934412281425
1077.0833333333333,True,converged,10.0,369.26739597320557,timeseries_center_distance_um_1.077083e+03.csv,0.1559949515665917,95.18734220596258,3519.006670757067,4.802843409205759,1478.3785034271832,0.005513695373270973
1137.5,True,converged,10.0,367.98363184928894,timeseries_center_distance_um_1.137500e+03.csv,0.13413600488876276,95.61837692041365,3640.5316695203474,4.1651439380254764,1346.5714244964886,0.004744780409663597
1197.9166666666665,True,converged,10.0,366.433678150177,timeseries_center_distance_um_1.197917e+03.csv,0.11824606741686808,96.28593558426965,3752.9822316431746,3.7097074509156602,1244.6445799621395,0.014205518562853089
1258.3333333333333,True,converged,10.0,361.75911593437195,timeseries_center_distance_um_1.258333e+03.csv,0.10499045063712638,96.68906387707639,3847.80460513576,3.3157871644449384,1150.1992137359375,0.054356405376445156
1318.75,True,converged,10.0,277.17285799980164,timeseries_center_distance_um_1.318750e+03.csv,0.09357079672436133,97.03670810047002,3935.235288526459,2.972142553096049,1062.8725372154502,0.07736436034799056
1379.1666666666665,False,timeout,10.0,275.58747696876526,timeseries_center_distance_um_1.379167e+03.csv,0.08369989056191622,97.34078315709736,4015.7665397540113,2.6719565498283004,982.4152446224813,0.1490097805317716
1439.5833333333333,False,timeout,10.0,275.059800863266,timeseries_center_distance_um_1.439583e+03.csv,0.07510285850252998,97.60860728980242,4090.151605035437,2.408088321890572,908.1040090471678,0.15140306314378357
1500.0,False,timeout,10.0,275.0631330013275,timeseries_center_distance_um_1.500000e+03.csv,0.06762148215079715,97.84355570229273,4158.373963079771,2.176569853815025,839.8854698332466,0.2157794781236016
